ga_7dayUsers,ga_date,isDataGolden,view_id
185,2022-12-31,True,219096830
189,2023-01-01,True,219096830
195,2023-01-02,True,219096830
212,2023-01-03,True,219096830
235,2023-01-04,True,219096830
259,2023-01-05,True,219096830
251,2023-01-06,True,219096830
258,2023-01-07,True,219096830
266,2023-01-08,True,219096830
280,2023-01-09,True,219096830
284,2023-01-10,True,219096830
295,2023-01-11,True,219096830
285,2023-01-12,True,219096830
284,2023-01-13,True,219096830
288,2023-01-14,True,219096830
290,2023-01-15,True,219096830
281,2023-01-16,True,219096830
271,2023-01-17,True,219096830
267,2023-01-18,True,219096830
276,2023-01-19,True,219096830
282,2023-01-20,True,219096830
278,2023-01-21,True,219096830
273,2023-01-22,True,219096830
277,2023-01-23,True,219096830
274,2023-01-24,True,219096830
272,2023-01-25,True,219096830
235,2023-01-26,True,219096830
230,2023-01-27,True,219096830
226,2023-01-28,True,219096830
225,2023-01-29,True,219096830
211,2023-01-30,True,219096830
211,2023-01-31,True,219096830
199,2023-02-01,True,219096830
221,2023-02-02,True,219096830
248,2023-02-03,True,219096830
255,2023-02-04,True,219096830
255,2023-02-05,True,219096830
253,2023-02-06,True,219096830
256,2023-02-07,True,219096830
260,2023-02-08,True,219096830
252,2023-02-09,True,219096830
238,2023-02-10,True,219096830
238,2023-02-11,True,219096830
276,2023-02-12,True,219096830
289,2023-02-13,True,219096830
300,2023-02-14,True,219096830
310,2023-02-15,True,219096830
317,2023-02-16,True,219096830
318,2023-02-17,True,219096830
325,2023-02-18,True,219096830
307,2023-02-19,True,219096830
308,2023-02-20,True,219096830
287,2023-02-21,True,219096830
296,2023-02-22,True,219096830
311,2023-02-23,True,219096830
310,2023-02-24,True,219096830
311,2023-02-25,True,219096830
284,2023-02-26,True,219096830
260,2023-02-27,True,219096830
238,2023-02-28,True,219096830
199,2023-03-01,True,219096830
144,2023-03-02,True,219096830
138,2023-03-03,True,219096830
138,2023-03-04,True,219096830
168,2023-03-05,True,219096830
200,2023-03-06,True,219096830
231,2023-03-07,True,219096830
260,2023-03-08,True,219096830
292,2023-03-09,True,219096830
290,2023-03-10,True,219096830
297,2023-03-11,True,219096830
284,2023-03-12,True,219096830
291,2023-03-13,True,219096830
285,2023-03-14,True,219096830
287,2023-03-15,True,219096830
281,2023-03-16,True,219096830
290,2023-03-17,True,219096830
283,2023-03-18,True,219096830
277,2023-03-19,True,219096830
253,2023-03-20,True,219096830
239,2023-03-21,True,219096830
226,2023-03-22,True,219096830
218,2023-03-23,True,219096830
192,2023-03-24,True,219096830
186,2023-03-25,True,219096830
195,2023-03-26,True,219096830
198,2023-03-27,True,219096830
215,2023-03-28,True,219096830
217,2023-03-29,True,219096830
207,2023-03-30,True,219096830
224,2023-03-31,True,219096830
226,2023-04-01,True,219096830
226,2023-04-02,True,219096830
236,2023-04-03,True,219096830
223,2023-04-04,True,219096830
221,2023-04-05,True,219096830
227,2023-04-06,True,219096830
250,2023-04-07,True,219096830
254,2023-04-08,True,219096830
256,2023-04-09,True,219096830
250,2023-04-10,True,219096830
256,2023-04-11,True,219096830
261,2023-04-12,True,219096830
275,2023-04-13,True,219096830
245,2023-04-14,True,219096830
245,2023-04-15,True,219096830
243,2023-04-16,True,219096830
258,2023-04-17,True,219096830
256,2023-04-18,True,219096830
246,2023-04-19,True,219096830
227,2023-04-20,True,219096830
230,2023-04-21,True,219096830
234,2023-04-22,True,219096830
243,2023-04-23,False,219096830
224,2023-04-24,False,219096830
